CP   CIUDAD                            
9107 28 DE JULIO                     
9121 AGUADA DE LAS TEJAS             
9121 AGUADA DEL PITO                 
9033 ALDEA APELEG                    
9037 ALDEA BELEIRO                   
9203 ALDEA ESCOLAR                   
9101 ALTO DE LAS PLUMAS              
9037 ALTO RIO MAYO                   
9223 ALTO RIO PICO                   
9033 ALTO RIO SENGUER                
9105 ANGOSTURA                       
9105 ANGOSTURA SEGUNDA               
9225 ARENOSO                         
9035 ARROYO CHALIA                   
9033 ARROYO GATO                     
9207 ARROYO GUILAIA                  
9203 ARROYO PERCY                    
9200 ARROYO PESCADO                  
9020 ARROYO QUILLA                   
8532 ARROYO VERDE                    
9111 BAHIA BUSTAMANTE                
9120 BAHIA CRACHER                   
9003 BAHIA SOLANO                    
9101 BAJADA DEL DIABLO               
9121 BAJADA MORENO                   
9121 BAJO BARTOLO                    
9103 BAJO DE LOS HUESOS              
9121 BAJO DEL GUALICHO               
9031 BAJO LA CANCHA                  
9121 BAJO LAS DAMAJUANAS             
9003 BARRIO ASTRA                    
9101 BASE AERONAVAL ALMIRANTE IRIZA  
9105 BETESTA                         
9107 BOCA DE LA ZANJA                
9107 BOCA ZANJA SUD                  
9105 BRYN BROWN                      
9105 BRYN GWYN                       
9023 BUEN PASTO                      
9210 BUENOS AIRES CHICO              
9105 CABAÑA DEL VALLE                
9101 CABEZA DE BUEY                  
9111 CABO RASO                       
9201 CACHEL                          
9201 CAJON DE GINEBRA CHICO          
9201 CAJON DE GINEBRA GRANDE         
9003 CALETA CORDOVA                  
9121 CALETA VALDEZ                   
9111 CAMARONES                       
9107 CAMPAMENTO VILLEGAS             
9207 CAÑADA BAGUAL                   
9121 CAÑADON BAGUAL                  
9121 CAÑADON BLANCO                  
9213 CAÑADON CALIENTE                
9020 CAÑADON CARRIL                  
9223 CAÑADON CHACAY                  
9121 CAÑADON CHILENO                 
9001 CAÑADON FERRAIS                 
9213 CAÑADON GRANDE                  
9220 CAÑADON LA MADERA               
9009 CAÑADON LAGARTO                 
9009 CAÑADON LOPEZ                   
9009 CAÑADON PEDRO EX VALLE HERMOSO  
9020 CAÑADON TACHO                   
9121 CARHUE NIYEO                    
9201 CARRENLEUFU                     
9103 CASA BLANCA                     
9220 CASA BLANCA                     
9120 CATAYCO                         
9203 CERRO CENTINELA                 
9207 CERRO CONDOR                    
9213 CERRO FOFOCAHUEL                
9201 CERRO LONCO TRAPIAL             
9200 CERRO MALLACO                   
9223 CERRO NEGRO                     
9120 CERRO PICHALAO                  
8430 CERRO RADAL                     
9100 CERRO SANTA ANA                 
9121 CHACAY ESTE                     
9121 CHACAY OESTE                    
9200 CHACRA DE AUSTIN                
9103 CHARQUE CHICO                   
9121 CHASICO                         
9217 CHOLILA                         
9201 COLAN CONHUE                    
9121 COLELACHE                       
9021 COLHUE HUAPI                    
9200 COLONIA 16 DE OCTUBRE           
9213 COLONIA CUSHAMEN                
9201 COLONIA EPULEF                  
